ID,City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Team1Players,Team2Players,Umpire1,Umpire2
1304085,Mumbai,2022-04-26,2022,39,Australia,West Indies,Narendra Modi Stadium,New Zealand,field,N,New Zealand,Runs,29.0,,Kane Williamson,"Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi","Kane Williamson, Trent Boult, Devon Conway",Aleem Dar,Chris Gaffaney
1304084,Ahmedabad,2022-04-25,2022,38,India,Pakistan,Old Trafford Cricket Ground,New Zealand,field,N,New Zealand,Runs,11.0,,Devon Conway,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Kane Williamson, Trent Boult, Devon Conway",Chris Gaffaney,Kumar Dharmasena
1304083,Dhaka,2022-04-24,2022,37,South Africa,Australia,Sher-e-Bangla National Stadium,West Indies,field,N,West Indies,Runs,36.0,,Nicholas Pooran,"Virat Kohli, Rohit Sharma, Jasprit Bumrah","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Nitin Menon,Marais Erasmus
1304082,Sydney,2022-04-23,2022,36,Sri Lanka,Afghanistan,Gaddafi Stadium,Bangladesh,field,N,Bangladesh,Wickets,9.0,,Shakib Al Hasan,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman",Marais Erasmus,Kumar Dharmasena
1304081,Melbourne,2022-04-23,2022,35,England,West Indies,Adelaide Oval,Pakistan,bat,N,West Indies,Runs,8.0,,Nicholas Pooran,"Nicholas Pooran, Jason Holder, Shimron Hetmyer","Babar Azam, Shaheen Afridi, Mohammad Rizwan",Rod Tucker,Richard Kettleborough
1304080,Sydney,2022-04-22,2022,34,Pakistan,England,Old Trafford Cricket Ground,South Africa,field,N,South Africa,Runs,15.0,,Kagiso Rabada,"Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman","Quinton de Kock, Kagiso Rabada, Aiden Markram",Kumar Dharmasena,Rod Tucker
1304079,Sydney,2022-04-21,2022,33,Bangladesh,Afghanistan,Adelaide Oval,West Indies,field,N,Bangladesh,Wickets,3.0,,Shakib Al Hasan,"Nicholas Pooran, Jason Holder, Shimron Hetmyer","Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman",Paul Reiffel,Kumar Dharmasena
1304078,Manchester,2022-04-20,2022,32,Pakistan,Sri Lanka,Wankhede Stadium,Pakistan,field,N,Pakistan,Wickets,9.0,,Shaheen Afridi,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Babar Azam, Shaheen Afridi, Mohammad Rizwan",Chris Gaffaney,Richard Kettleborough
1304077,Ahmedabad,2022-04-19,2022,31,South Africa,West Indies,Narendra Modi Stadium,Australia,field,N,Australia,Runs,18.0,,Steve Smith,"Pat Cummins, Steve Smith, David Warner","Kane Williamson, Trent Boult, Devon Conway",Kumar Dharmasena,Aleem Dar
1304076,Dhaka,2022-04-18,2022,30,Pakistan,Australia,Narendra Modi Stadium,Pakistan,field,N,Sri Lanka,Runs,7.0,,Kusal Mendis,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Nitin Menon,Aleem Dar
1304075,Ahmedabad,2022-04-17,2022,29,New Zealand,Sri Lanka,Melbourne Cricket Ground,Sri Lanka,field,N,Sri Lanka,Wickets,3.0,,Pathum Nissanka,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Chris Gaffaney,Richard Kettleborough
1304074,Kolkata,2022-04-17,2022,28,England,South Africa,Narendra Modi Stadium,India,field,N,South Africa,Wickets,7.0,,Quinton de Kock,"Virat Kohli, Rohit Sharma, Jasprit Bumrah","Quinton de Kock, Kagiso Rabada, Aiden Markram",Paul Reiffel,Nitin Menon
1304073,Dhaka,2022-04-16,2022,27,India,Pakistan,Eden Gardens,Afghanistan,field,N,Sri Lanka,Runs,16.0,,Wanindu Hasaranga,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi",Kumar Dharmasena,Marais Erasmus
1304072,London,2022-04-16,2022,26,Afghanistan,Sri Lanka,Narendra Modi Stadium,New Zealand,field,N,India,Runs,18.0,,Jasprit Bumrah,"Kane Williamson, Trent Boult, Devon Conway","Virat Kohli, Rohit Sharma, Jasprit Bumrah",Aleem Dar,Kumar Dharmasena
1304071,Kolkata,2022-04-15,2022,25,South Africa,England,Melbourne Cricket Ground,Afghanistan,field,N,South Africa,Wickets,7.0,,Quinton de Kock,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi",Richard Kettleborough,Aleem Dar
1304070,Sydney,2022-04-14,2022,24,Afghanistan,New Zealand,Melbourne Cricket Ground,Australia,field,N,New Zealand,Runs,37.0,,Kane Williamson,"Pat Cummins, Steve Smith, David Warner","Kane Williamson, Trent Boult, Devon Conway",Richard Kettleborough,Nitin Menon
1304069,Dhaka,2022-04-13,2022,23,West Indies,Sri Lanka,Lord's Cricket Ground,Pakistan,field,N,Afghanistan,Runs,12.0,,Rashid Khan,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi",Richard Kettleborough,Chris Gaffaney
1304068,London,2022-04-12,2022,22,Afghanistan,England,Eden Gardens,Pakistan,field,N,Pakistan,Runs,23.0,,Shaheen Afridi,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Joe Root, Ben Stokes, Jos Buttler",Kumar Dharmasena,Paul Reiffel
1304067,Manchester,2022-04-11,2022,21,South Africa,Sri Lanka,Eden Gardens,South Africa,field,N,Sri Lanka,Wickets,8.0,,Wanindu Hasaranga,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Aleem Dar,Richard Kettleborough
1304066,Lahore,2022-04-10,2022,20,Australia,Afghanistan,Old Trafford Cricket Ground,New Zealand,field,N,Sri Lanka,Runs,3.0,,Pathum Nissanka,"Kane Williamson, Trent Boult, Devon Conway","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Rod Tucker,Richard Kettleborough
1304065,Mumbai,2022-04-10,2022,19,Bangladesh,Afghanistan,Melbourne Cricket Ground,New Zealand,field,N,New Zealand,Runs,44.0,,Trent Boult,"Kane Williamson, Trent Boult, Devon Conway","Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi",Richard Kettleborough,Aleem Dar
1304064,London,2022-04-09,2022,18,South Africa,England,Eden Gardens,Bangladesh,field,N,Bangladesh,Wickets,7.0,,Tamim Iqbal,"Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman","Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi",Chris Gaffaney,Richard Kettleborough
1304063,Mumbai,2022-04-09,2022,17,Pakistan,Afghanistan,The Oval,Australia,field,N,Australia,Wickets,8.0,,Pat Cummins,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Pat Cummins, Steve Smith, David Warner",Kumar Dharmasena,Chris Gaffaney
1304062,Lahore,2022-04-08,2022,16,West Indies,Bangladesh,Narendra Modi Stadium,West Indies,field,N,West Indies,Wickets,6.0,,Jason Holder,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Aleem Dar,Nitin Menon
1304061,Lahore,2022-04-07,2022,15,Sri Lanka,England,Sher-e-Bangla National Stadium,Bangladesh,field,N,Australia,Wickets,6.0,,Steve Smith,"Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman","Pat Cummins, Steve Smith, David Warner",Aleem Dar,Kumar Dharmasena
1304060,Sydney,2022-04-06,2022,14,Bangladesh,West Indies,The Oval,Pakistan,field,N,Australia,Wickets,5.0,,Steve Smith,"Pat Cummins, Steve Smith, David Warner","Babar Azam, Shaheen Afridi, Mohammad Rizwan",Marais Erasmus,Chris Gaffaney
1304059,Ahmedabad,2022-04-05,2022,13,India,England,Adelaide Oval,West Indies,field,N,New Zealand,Wickets,4.0,,Trent Boult,"Kane Williamson, Trent Boult, Devon Conway","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Rod Tucker,Kumar Dharmasena
1304058,Melbourne,2022-04-04,2022,12,New Zealand,Australia,The Oval,West Indies,field,N,West Indies,Runs,12.0,,Jason Holder,"Nicholas Pooran, Jason Holder, Shimron Hetmyer","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Chris Gaffaney,Paul Reiffel
1304057,Mumbai,2022-04-03,2022,11,Australia,Pakistan,Old Trafford Cricket Ground,Australia,field,N,Australia,Runs,54.0,,Steve Smith,"Pat Cummins, Steve Smith, David Warner","Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman",Paul Reiffel,Chris Gaffaney
1304056,Adelaide,2022-04-02,2022,10,Afghanistan,New Zealand,Gaddafi Stadium,South Africa,field,N,South Africa,Runs,14.0,,Aiden Markram,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Babar Azam, Shaheen Afridi, Mohammad Rizwan",Rod Tucker,Richard Kettleborough
1304055,London,2022-04-02,2022,9,Sri Lanka,England,Lord's Cricket Ground,Afghanistan,field,N,South Africa,Runs,23.0,,Aiden Markram,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi",Aleem Dar,Kumar Dharmasena
1304054,Mumbai,2022-04-01,2022,8,India,West Indies,Wankhede Stadium,New Zealand,field,N,New Zealand,Wickets,6.0,,Trent Boult,"Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi","Kane Williamson, Trent Boult, Devon Conway",Nitin Menon,Rod Tucker
1304053,Manchester,2022-03-31,2022,7,England,New Zealand,Wankhede Stadium,South Africa,field,N,New Zealand,Wickets,6.0,,Kane Williamson,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Kane Williamson, Trent Boult, Devon Conway",Chris Gaffaney,Rod Tucker
1304052,Manchester,2022-03-30,2022,6,Pakistan,Australia,Gaddafi Stadium,India,field,N,Sri Lanka,Wickets,3.0,,Pathum Nissanka,"Virat Kohli, Rohit Sharma, Jasprit Bumrah","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Chris Gaffaney,Aleem Dar
1304051,Melbourne,2022-03-29,2022,5,Afghanistan,Pakistan,Old Trafford Cricket Ground,Sri Lanka,field,N,Sri Lanka,Runs,61.0,,Wanindu Hasaranga,"Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Rod Tucker,Richard Kettleborough
1304050,Mumbai,2022-03-28,2022,4,New Zealand,Pakistan,Old Trafford Cricket Ground,Australia,field,N,Australia,Wickets,5.0,,Steve Smith,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Pat Cummins, Steve Smith, David Warner",Rod Tucker,Richard Kettleborough
1304049,Dhaka,2022-03-27,2022,3,South Africa,Afghanistan,Adelaide Oval,West Indies,field,N,West Indies,Wickets,5.0,,Jason Holder,"Pat Cummins, Steve Smith, David Warner","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Kumar Dharmasena,Marais Erasmus
1304048,London,2022-03-27,2022,2,England,Pakistan,Lord's Cricket Ground,Sri Lanka,field,N,Sri Lanka,Wickets,4.0,,Wanindu Hasaranga,"Pat Cummins, Steve Smith, David Warner","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Nitin Menon,Aleem Dar
1304047,Manchester,2022-03-26,2022,1,West Indies,England,Lord's Cricket Ground,Afghanistan,field,N,Afghanistan,Wickets,6.0,,Mohammad Nabi,"Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi","Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman",Aleem Dar,Chris Gaffaney
1254117,Manchester,2021-10-15,2021,Final,Australia,Afghanistan,Sher-e-Bangla National Stadium,Afghanistan,field,N,Sri Lanka,Runs,27.0,,Kusal Mendis,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi",Rod Tucker,Kumar Dharmasena
1254116,Sydney,2021-10-13,2021,Qualifier 2,Australia,England,Wankhede Stadium,South Africa,field,N,South Africa,Wickets,3.0,,Aiden Markram,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Quinton de Kock, Kagiso Rabada, Aiden Markram",Richard Kettleborough,Rod Tucker
1254115,London,2021-10-11,2021,Eliminator,Pakistan,Afghanistan,Old Trafford Cricket Ground,South Africa,bat,N,New Zealand,Wickets,4.0,,Trent Boult,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Kane Williamson, Trent Boult, Devon Conway",Paul Reiffel,Rod Tucker
1254114,Sydney,2021-10-10,2021,Qualifier 1,Pakistan,New Zealand,Sher-e-Bangla National Stadium,New Zealand,field,N,New Zealand,Wickets,4.0,,Devon Conway,"Virat Kohli, Rohit Sharma, Jasprit Bumrah","Kane Williamson, Trent Boult, Devon Conway",Marais Erasmus,Kumar Dharmasena
1254101,Sydney,2021-10-08,2021,56,India,New Zealand,Sher-e-Bangla National Stadium,Sri Lanka,field,N,West Indies,Wickets,7.0,,Shimron Hetmyer,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Rod Tucker,Kumar Dharmasena
1254088,Adelaide,2021-10-08,2021,55,West Indies,Australia,Adelaide Oval,Afghanistan,bat,N,Afghanistan,Runs,42.0,,Rahmanullah Gurbaz,"Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi","Pat Cummins, Steve Smith, David Warner",Rod Tucker,Marais Erasmus
1254106,Mumbai,2021-10-07,2021,54,Bangladesh,Afghanistan,Lord's Cricket Ground,Sri Lanka,field,N,Pakistan,Runs,86.0,,Mohammad Rizwan,"Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka","Babar Azam, Shaheen Afridi, Mohammad Rizwan",Marais Erasmus,Aleem Dar
1254094,Manchester,2021-10-07,2021,53,West Indies,New Zealand,Old Trafford Cricket Ground,Bangladesh,field,N,Bangladesh,Wickets,6.0,,Mustafizur Rahman,"Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman","Kane Williamson, Trent Boult, Devon Conway",Richard Kettleborough,Rod Tucker
1254095,Mumbai,2021-10-06,2021,52,India,New Zealand,Sher-e-Bangla National Stadium,South Africa,field,N,South Africa,Runs,4.0,,Aiden Markram,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Virat Kohli, Rohit Sharma, Jasprit Bumrah",Chris Gaffaney,Rod Tucker
1254093,Melbourne,2021-10-05,2021,51,Australia,Sri Lanka,Old Trafford Cricket Ground,Afghanistan,field,N,India,Wickets,8.0,,Jasprit Bumrah,"Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi","Virat Kohli, Rohit Sharma, Jasprit Bumrah",Kumar Dharmasena,Nitin Menon
1254110,Kolkata,2021-10-04,2021,50,West Indies,Afghanistan,Eden Gardens,India,field,N,Afghanistan,Wickets,3.0,,Rashid Khan,"Rashid Khan, Rahmanullah Gurbaz, Mohammad Nabi","Virat Kohli, Rohit Sharma, Jasprit Bumrah",Marais Erasmus,Rod Tucker
1254090,Melbourne,2021-10-03,2021,48,Afghanistan,Pakistan,Wankhede Stadium,India,bat,N,Bangladesh,Runs,6.0,,Shakib Al Hasan,"Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman","Virat Kohli, Rohit Sharma, Jasprit Bumrah",Nitin Menon,Paul Reiffel
1254109,Manchester,2021-10-03,2021,49,India,West Indies,Narendra Modi Stadium,West Indies,bat,N,West Indies,Wickets,6.0,,Jason Holder,"Babar Azam, Shaheen Afridi, Mohammad Rizwan","Nicholas Pooran, Jason Holder, Shimron Hetmyer",Marais Erasmus,Chris Gaffaney
1254112,Ahmedabad,2021-10-02,2021,46,New Zealand,Australia,Old Trafford Cricket Ground,South Africa,field,N,South Africa,Wickets,4.0,,Quinton de Kock,"Pat Cummins, Steve Smith, David Warner","Quinton de Kock, Kagiso Rabada, Aiden Markram",Rod Tucker,Aleem Dar
1254089,Sydney,2021-10-02,2021,47,Pakistan,Australia,The Oval,South Africa,field,N,England,Wickets,7.0,,Joe Root,"Quinton de Kock, Kagiso Rabada, Aiden Markram","Joe Root, Ben Stokes, Jos Buttler",Rod Tucker,Nitin Menon
1254102,Manchester,2021-10-01,2021,45,Bangladesh,Pakistan,Melbourne Cricket Ground,England,field,N,South Africa,Wickets,5.0,,Aiden Markram,"Joe Root, Ben Stokes, Jos Buttler","Quinton de Kock, Kagiso Rabada, Aiden Markram",Richard Kettleborough,Chris Gaffaney
1254091,Lahore,2021-09-30,2021,44,England,India,Adelaide Oval,Bangladesh,field,N,Sri Lanka,Wickets,6.0,,Kusal Mendis,"Shakib Al Hasan, Tamim Iqbal, Mustafizur Rahman","Wanindu Hasaranga, Kusal Mendis, Pathum Nissanka",Richard Kettleborough,Marais Erasmus
